Id,PeriodYear,PeriodName,EntQev,MinLinj,InstitCode,InstitName,Kap,ProgramCode,ProgramName,EconomicCode,TreasureCode,ProjectCode,ProjectName,Revised,Actual,Encumbrance,AvailableFunds
17719,2025,11-2025,001,01,1001001,Presidenca (3535),B1,01120,Sherbime te Pergj. Publike,231,3535,23AC501,Projekti i Rikonstruksionit te godines ekzistuese te Institucionit te Presidentit te Republikes,300000000,0,0,300000000
17720,2025,11-2025,001,01,1001001,Presidenca (3535),B1,01120,Sherbime te Pergj. Publike,231,3535,M010003,Blerje pajisjesh,3000000,0,0,3000000
17721,2025,11-2025,001,01,1001001,Presidenca (3535),B1,01120,Sherbime te Pergj. Publike,231,3535,M010020,Pajisje kompjuterike,3000000,0,0,3000000
17722,2025,11-2025,001,02,1002001,Kuvendi Popullor (3535),B1,01110,Planifikimi, Menaxhimi dhe Administrimi,231,3535,18AA411,Aplikacion per nderveprim me publikun dhe grupet e interesit,5609760,0,0,5609760
17723,2025,11-2025,001,02,1002001,Kuvendi Popullor (3535),B1,01110,Planifikimi, Menaxhimi dhe Administrimi,231,3535,18AA419,Sistem Transkripti AI,50000000,0,0,50000000
17724,2025,11-2025,001,02,1002001,Kuvendi Popullor (3535),B1,01110,Planifikimi, Menaxhimi dhe Administrimi,231,3535,18AA421,Sistemi i sigurisë me camera CCTV,24000000,0,0,24000000
17725,2025,11-2025,001,02,1002001,Kuvendi Popullor (3535),B1,01110,Planifikimi, Menaxhimi dhe Administrimi,231,3535,18AA422,Upgrade i aplikacionit Kuvendi i Shqipërisë,2000000,0,0,2000000
17726,2025,11-2025,001,02,1002001,Kuvendi Popullor (3535),B4,01110,Planifikimi, Menaxhimi dhe Administrimi,231,3535,24AH001,TVSH (Bashkefinancim i NDI, PACEP 2),4000000,0,0,4000000
17727,2025,11-2025,001,02,1002001,Kuvendi Popullor (3535),B1,01110,Planifikimi, Menaxhimi dhe Administrimi,231,3535,M020002,Blerje Pajisje,34646240,0,0,34646240
17728,2025,11-2025,001,02,1002001,Kuvendi Popullor (3535),B1,01110,Planifikimi, Menaxhimi dhe Administrimi,231,3535,M020004,Blerje autoveture per Kuvendin,16000000,0,0,16000000
17729,2025,11-2025,001,02,1002001,Kuvendi Popullor (3535),B1,01110,Planifikimi, Menaxhimi dhe Administrimi,231,3535,M020027,Sistemi i sigurisë me camera CCTV,744000,0,0,744000
17730,2025,11-2025,001,03,1003001,Aparati i Keshillit te Ministrave (3535),B1,01110,Planifikimi, Menaxhimi dhe Administrimi,231,3535,M030025,Blerje kompjutera, printer,fotokopje,6000000,0,0,6000000
17731,2025,11-2025,001,03,1003001,Aparati i Keshillit te Ministrave (3535),B1,01110,Planifikimi, Menaxhimi dhe Administrimi,231,3535,M030029,Rikonstruksion,84000000,0,0,84000000
17732,2025,11-2025,001,03,1003001,Aparati i Keshillit te Ministrave (3535),B1,01110,Planifikimi, Menaxhimi dhe Administrimi,231,3535,M030038,Blerje pajisje,10000000,0,0,10000000
17733,2025,11-2025,001,05,1005001,Aparati Ministrise se Bujqesise dhe Zhvillimit Rural (3535),B1,01110,Planifikimi, Menaxhimi dhe Administrimi,231,3535,18AI901,Pajisje zyrash dhe elektronike të blera për Aparatin e MBZHR-së,5000000,0,0,5000000
17734,2025,11-2025,001,05,1005001,Aparati Ministrise se Bujqesise dhe Zhvillimit Rural (3535),B1,01110,Planifikimi, Menaxhimi dhe Administrimi,231,3535,M050466,Blerjepajisje zyrash (mobilje),2000000,0,0,2000000
17735,2025,11-2025,001,05,1005001,Aparati Ministrise se Bujqesise dhe Zhvillimit Rural (3535),B1,04220,Siguria ushqimore dhe mbrojtja e konsumatorit,231,3535,18AJ403,Blerje automjete per AKVMB,15900000,0,0,15900000
17736,2025,11-2025,001,05,1005001,Aparati Ministrise se Bujqesise dhe Zhvillimit Rural (3535),B3,04220,Siguria ushqimore dhe mbrojtja e konsumatorit,231,3535,19AB704,SMALL SCALE PROJECT - SA-0100050 ¿ EFFORG / Interreg IPA,77000,0,0,77000
17737,2025,11-2025,001,05,1005111,Instituti I Sigurise Ushqimore dhe Veterinarise (3535),B1,04220,Siguria ushqimore dhe mbrojtja e konsumatorit,231,3535,24AD601,Përmirësimi dhe zgjerimi i infrastrukturës laboratorike dhe shtrimi i linjave të gazit për Departamentin e Mbrojtjes dhe Shëndetit të Bimëve,45880000,0,0,45880000
17738,2025,11-2025,001,05,1005111,Instituti I Sigurise Ushqimore dhe Veterinarise (3535),B1,04220,Siguria ushqimore dhe mbrojtja e konsumatorit,231,3535,24AD701,Fuqizimi i kapaciteteve laboratorike të ISUV në të tre fushat ku ushtron aktivitetin e vet analitik, siguri ushqimore, shëndet kafshësh dhe bimësh,108007000,0,0,108007000
17739,2025,11-2025,001,05,1005001,Aparati Ministrise se Bujqesise dhe Zhvillimit Rural (3535),B3,04220,Siguria ushqimore dhe mbrojtja e konsumatorit,231,3535,M050163,Kosto Lokale,13575000,0,0,13575000
17740,2025,11-2025,001,05,1005001,Aparati Ministrise se Bujqesise dhe Zhvillimit Rural (3535),B4,04220,Siguria ushqimore dhe mbrojtja e konsumatorit,231,3535,M050168,TVSH Takse Doganore,937684,0,0,937684
17741,2025,11-2025,001,05,1005138,Drejtoria Rajonale e Shërbimit Veterinar dhe Mbrojtjes se Bimëve Vlorë (3737),B1,04220,Siguria ushqimore dhe mbrojtja e konsumatorit,231,3737,18AJ104,Rikonstruksion i zyrave te DRVMB Vlore,14198316,0,0,14198316
17742,2025,11-2025,001,05,1005001,Aparati Ministrise se Bujqesise dhe Zhvillimit Rural (3535),B3,04230,Mbeshtetje per Peshkimin,231,3535,19AB802,Projekti CBC - SA - SKILLS,1512000,0,0,1512000
17743,2025,11-2025,001,05,1005001,Aparati Ministrise se Bujqesise dhe Zhvillimit Rural (3535),B1,04230,Mbeshtetje per Peshkimin,231,3535,21AC709,Implementimi i sistemit ERS,88034000,0,0,88034000
17744,2025,11-2025,001,05,1005068,Bordi i KullimitDurres (0707),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0707,18AJ822,Rehabilitimi i ushqyesit te rezervaurit te Bllaces dhe rehabilitimi i rezervuarit te Bllaces (burimi ujor),188454090,0,0,188454090
17745,2025,11-2025,001,05,1005068,Bordi i KullimitDurres (0707),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0707,18AJ824,Ndertimi i shkarkuesve të rinj në Kanalin Kryesor Ujitës Peqin-Kavaje,46367868,0,0,46367868
17746,2025,11-2025,001,05,1005068,Bordi i KullimitDurres (0707),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0707,18AJ833,Rehabilitimi i vepres se marrjes, diga Cengele,19845000,0,0,19845000
17747,2025,11-2025,001,05,1005068,Bordi i KullimitDurres (0707),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0707,18AJ836,Rehabilitimi i kanalit kryesor  Peqin -Kavaje, zona urbane,50000000,0,0,50000000
17748,2025,11-2025,001,05,1005068,Bordi i KullimitDurres (0707),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0707,18AJ837,Punime rehabilitimi Vepra e Marrjes (Diga Cengelaj, Faza II),43371893,0,0,43371893
17749,2025,11-2025,001,05,1005068,Bordi i KullimitDurres (0707),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0707,18AK213,Rikonstruksion hidrovori Grethe,72217186,0,0,72217186
17750,2025,11-2025,001,05,1005068,Bordi i KullimitDurres (0707),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0707,18AK214,Rikonstruksion hidrovori Synej,23776424,0,0,23776424
17751,2025,11-2025,001,05,1005068,Bordi i KullimitDurres (0707),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0707,18AK216,Rikonstruksion hidrovori Hamallaj,135600000,0,0,135600000
17752,2025,11-2025,001,05,1005068,Bordi i KullimitDurres (0707),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0707,18AK373,Mbrojtja lumore nga gerryerjet ne lumin Erzen, Ibe e Poshtme (fshati Shkalle),10000000,0,0,10000000
17753,2025,11-2025,001,05,1005068,Bordi i KullimitDurres (0707),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,230,0707,M051202,Studim projektim per objektet e programit,4313922,0,0,4313922
17754,2025,11-2025,001,05,1005070,Bordi i Kullimit Fier (0909),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0909,18AJ827,Rehabilitimi i Kanalit Kryesor Ujitës Llakatund,Vlorë,74512668,0,0,74512668
17755,2025,11-2025,001,05,1005070,Bordi i Kullimit Fier (0909),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0909,18AJ828,Shkarje ne kanalin ujites VMK2 (pjese e skemes Kurjan-Strum),14080261,0,0,14080261
17756,2025,11-2025,001,05,1005070,Bordi i Kullimit Fier (0909),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0909,18AK215,Rikonstruksion hidrovori Orikum,20000000,0,0,20000000
17757,2025,11-2025,001,05,1005070,Bordi i Kullimit Fier (0909),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0909,18AK222,Mbojtje e kanalit ne dalje te Hidrovorit Nr.3 Darrzeze Fier (krahu I djathte),39409185,0,0,39409185
17758,2025,11-2025,001,05,1005070,Bordi i Kullimit Fier (0909),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0909,18AK223,,1200000,0,0,1200000
17759,2025,11-2025,001,05,1005070,Bordi i Kullimit Fier (0909),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0909,18AK368,Mbrojtje nga lumi Drinos, Fabrika e Kepuceve Gjirokaster,180000,0,0,180000
17760,2025,11-2025,001,05,1005070,Bordi i Kullimit Fier (0909),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0909,18AK380,Mbojtje e kanalit ne dalje te Hidrovorit Nr.3 Darrzeze Fier,24332053,0,0,24332053
17761,2025,11-2025,001,05,1005070,Bordi i Kullimit Fier (0909),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0909,18AK381,Rehabilitimi i lumit të Borshit,50676708,0,0,50676708
17762,2025,11-2025,001,05,1005070,Bordi i Kullimit Fier (0909),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0909,18AK382,Mbrojtje nga Lumi Kalase (Kaskada e Shelegarit),15145047,0,0,15145047
17763,2025,11-2025,001,05,1005070,Bordi i Kullimit Fier (0909),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0909,18AK383,Riparim i argjinatures Mbrojtese te Kolektorit K17 Butrint,83896643,0,0,83896643
17764,2025,11-2025,001,05,1005070,Bordi i Kullimit Fier (0909),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0909,18AK384,Mbrojtje nga Lumi Kalase (Kaskada e Vanes),25684498,0,0,25684498
17765,2025,11-2025,001,05,1005070,Bordi i Kullimit Fier (0909),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0909,18AK386,Riparimi i Argjinatures se Majte te Lumit Seman,42696679,0,0,42696679
17766,2025,11-2025,001,05,1005070,Bordi i Kullimit Fier (0909),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0909,18AK387,Mbrojtja nga Lumi Shushice ne Vranisht, Vlore,7392449,0,0,7392449
17767,2025,11-2025,001,05,1005070,Bordi i Kullimit Fier (0909),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0909,18AK388,Mbrojtja nga Lumi Shushica ne Drashovice, Vlore,14427920,0,0,14427920
17768,2025,11-2025,001,05,1005070,Bordi i Kullimit Fier (0909),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0909,18AK397,Mur mbajtes ne kolektorin Roskovec -Hoxhare, Fier,16000000,0,0,16000000
17769,2025,11-2025,001,05,1005070,Bordi i Kullimit Fier (0909),B1,04240,Menaxhimi i infrastruktures se kullimit dhe ujitjes,231,0909,18AK398,Mbrojtja nga lumi Vjose, krahu I djathte Kashisht,26102963,0,0,26102963
