drfCode,drfName,healthCenterCode,healthCenterName,healthCenterDescription,healthCenterEmail,healthCenterPhone
4,ELBASAN,830410,Elbasan - Kajan,Elbasan => Kajan,N/A,N/A
4,ELBASAN,830411,Elbasan - Grekan,Elbasan => Grekan,N/A,N/A
4,ELBASAN,830412,Elbasan - Funar,Elbasan => Funar,N/A,N/A
4,ELBASAN,830413,Elbasan - Rrase,Elbasan => Rrase,N/A,N/A
4,ELBASAN,830414,Elbasan - Shirgjan,Elbasan => Shirgjan,N/A,N/A
4,ELBASAN,830415,Elbasan - Tregan,Elbasan => Tregan,N/A,N/A
4,ELBASAN,830416,Elbasan - Bradashesh,Elbasan => Bradashesh,N/A,N/A
4,ELBASAN,830417,Elbasan - Gracen,Elbasan => Gracen,N/A,N/A
4,ELBASAN,830418,Elbasan - Fierze Elbasan,Elbasan => Fierze Elbasan,N/A,N/A
4,ELBASAN,830419,Elbasan - Klos Elbasan,Elbasan => Klos Elbasan,N/A,N/A
4,ELBASAN,830700,Qsh Gjinar-Zavaline,Elbasan => Gjinar,N/A,N/A
4,ELBASAN,850743,Elbasan - IEVP Elbasan,Elbasan => IEVP Elbasan,N/A,N/A
5,FIER,910352,Fier - QSH Nr. 1 Fier,Fier => QSH Nr. 1 Fier,N/A,N/A
5,FIER,910353,Fier - Patos+Ruzhdije,Fier => Patos+Ruzhdije,N/A,N/A
5,FIER,910354,Fier - Roskovec,Fier => Roskovec,N/A,N/A
5,FIER,920359,Fier - QSH Nr. 3 Fier,Fier => QSH Nr. 3 Fier,N/A,N/A
5,FIER,920360,Fier - QSH Nr. 2 Fier,Fier => QSH Nr. 2 Fier,N/A,N/A
5,FIER,930365,Fier - Frakull,Fier => Frakull,N/A,N/A
5,FIER,930367,Fier - Portez,Fier => Portez,N/A,N/A
5,FIER,930368,Fier - Clirim,Fier => Clirim,N/A,N/A
5,FIER,930370,Fier - Zharrez,Fier => Zharrez,N/A,N/A
5,FIER,930372,Fier - Kurjan,Fier => Kurjan,N/A,N/A
5,FIER,930374,Fier - Ruzhdie,Fier => Ruzhdie,N/A,N/A
5,FIER,930375,Fier - Kuman,Fier => Kuman,N/A,N/A
5,FIER,930378,Fier - Levan,Fier => Levan,N/A,N/A
5,FIER,930380,Fier - Mbrostar,Fier => Mbrostar,N/A,N/A
5,FIER,930381,Fier - Libofshe,Fier => Libofshe,N/A,N/A
5,FIER,930383,Fier - Topoje,Fier => Topoje,N/A,N/A
5,FIER,930385,Fier - Dermenas,Fier => Dermenas,N/A,N/A
5,FIER,930387,Fier - Strume,Fier => Strume,N/A,N/A
5,FIER,930389,Fier - Cakran,Fier => Cakran,N/A,N/A
5,FIER,950504,Fier - IEVP FIER,Fier => IEVP FIER,N/A,N/A
